depth,permeability,porosity,Pozo
7413.0,0.0,0.0002,well1
7413.5,0.0,0.0004,well1
7414.0,0.0001,0.0006,well1
7414.5,0.0002,0.0009,well1
7415.0,0.0005,0.0014,well1
7415.5,0.0031,0.0035,well1
7416.0,0.0094,0.0083,well1
7416.5,0.0034,4,well1
7417.0,0.0006,0.0018,well1
7417.5,0.0002,0.0007,well1
7418.0,0.0,0.0002,well1
7418.5,0.0,0.0002,well1
7419.0,0.0,0.0002,well1
7419.5,0.0,0.0004,well1
7420.0,0.0001,0.0007,well1
7420.5,0.0003,0.0013,well1
7421.0,0.0012,0.0022,well1
7421.5,0.0071,0.0057,well1
7422.0,0.0227,0.0138,well1
7422.5,0.0189,0.0116,well1
7423.0,0.0132,0.0098,well1
7423.5,0.0071,0.0069,well1
7424.0,0.0039,0.0048,well1
7424.5,0.0034,0.0047,well1
7425.0,0.0041,0.0047,well1
7425.5,0.0085,0.0076,well1
7426.0,0.0152,0.0119,well1
7426.5,0.0037,0.0048,well1
7427.0,1,0.0018,well1
7427.5,0.0001,0.0007,well1
7428.0,0.0,0.0003,well1
7428.5,0.0,0.0003,well1
7429.0,0.0,0.0003,well1
7429.5,0.0,0.0002,well1
7430.0,0.0,0.0001,well1
7430.5,0.0,0.0001,well1
7431.0,0.0,0.0001,well1
7431.5,0.0001,0.0004,well1
7432.0,0.0013,2,well1
7432.5,0.0082,6,well1
7433.0,0.0306,0.0154,well1
7433.5,0.0417,0.0171,well1
7434.0,0.0487,0.0191,well1
7434.5,0.0251,0.0127,well1
7435.0,0.0101,0.0082,well1
7435.5,0.0051,0.0057,well1
7436.0,0.0026,0.0039,well1
7436.5,0.0073,0.0066,well1
7437.0,0.0162,0.0109,well1
7437.5,0.0078,0.0069,well1
7438.0,0.0028,0.0042,well1
7438.5,0.0034,0.0048,well1
7439.0,0.0044,0.0054,well1
7439.5,8,0.0073,well1
7440.0,13,0.0098,well1
7440.5,0.0138,0.01,well1
7441.0,0.0155,0.0102,well1
7441.5,0.0305,0.0144,well1
7442.0,0.0624,0.0199,well1
7442.5,0.1504,0.0291,well1
7443.0,0.3796,0.0413,well1
7443.5,1.0231,0.0589,well1
7444.0,1.9488,0.0795,well1
7444.5,0.4505,0.0359,well1
7445.0,0.2028,0.0305,well1
7445.5,272,0.0364,well1
7446.0,0.3616,0.0423,well1
7446.5,0.3084,0.0384,well1
7447.0,0.2317,0.0345,well1
7447.5,139,0.0274,well1
7448.0,0.0866,0.0204,well1
7448.5,0.0909,0.0225,well1
7449.0,107,0.0246,well1
7449.5,0.1032,0.0235,well1
7450.0,0.0922,0.0224,well1
7450.5,0.0695,0.0188,well1
7451.0,0.0493,0.0152,well1
7451.5,0.0382,0.0134,well1
7452.0,0.0433,0.0116,well1
7452.5,0.1296,0.0233,well1
7453.0,0.2626,0.0351,well1
7453.5,0.1924,0.0294,well1
7454.0,0.1078,0.0238,well1
7454.5,0.0527,0.0023,well1
7455.0,0.2089,37,well1
7455.5,0.0449,0.0081,well1
7456.0,0.0009,0.0012,well1
7456.5,0.0001,0.0003,well1
7457.0,0.0,0.0001,well1
7457.5,0.0,0.0001,well1
7458.0,0.0,0.0001,well1
7458.5,0.0,0.0002,well1
7459.0,0.0,0.0004,well1
7459.5,0.0001,0.0004,well1
7460.0,0.0001,0.0004,well1
7460.5,0.0001,0.0006,well1
7461.0,0.0002,0.0008,well1
7461.5,0.0001,0.0004,well1
7462.0,0.0,0.0002,well1
7462.5,0.0,0.0,well1
7463.0,0.0,0.0,well1
7463.5,0.0,0.0,well1
7464.0,0.0,0.0001,well1
7464.5,0.0,0.0002,well1
7465.0,0.0,0.0004,well1
7465.5,0.0001,0.0005,well1
7466.0,0.0001,0.0007,well1
7466.5,0.0,0.0003,well1
7467.0,0.0,0.0001,well1
7467.5,0.0,0.0002,well1
7468.0,0.0,0.0003,well1
7468.5,0.0001,0.0007,well1
7469.0,0.0005,0.0017,well1
7469.5,0.0006,0.0019,well1
7470.0,0.0007,0.0021,well1
7470.5,0.0004,0.0015,well1
7471.0,0.0002,0.0011,well1
7471.5,0.0003,0.0013,well1
7472.0,0.0004,0.0015,well1
7472.5,0.0006,0.0017,well1
7473.0,0.0008,2,well1
7473.5,1,0.0024,well1
7474.0,0.0012,0.0029,well1
7474.5,0.0005,0.0015,well1
7475.0,0.0001,0.0007,well1
7475.5,0.0004,0.0012,well1
7476.0,0.0007,0.0019,well1
7476.5,1,0.0025,well1
7477.0,0.0016,0.0031,well1
7477.5,0.0016,0.0032,well1
7478.0,0.0019,0.0032,well1
7478.5,0.0103,0.0072,well1
7479.0,0.0305,0.0149,well1
7479.5,0.0184,0.0113,well1
7480.0,0.01,0.0084,well1
7480.5,0.0098,0.0084,well1
7481.0,0.0103,0.0084,well1
7481.5,0.0231,0.0125,well1
7482.0,0.0418,0.0181,well1
7482.5,0.0235,0.0126,well1
7483.0,0.0115,0.0086,well1
7483.5,0.0109,0.0089,well1
7484.0,0.0112,0.0092,well1
7484.5,0.0092,0.0081,well1
7485.0,0.0071,0.0071,well1
7485.5,0.0052,6,well1
7486.0,0.0043,5,well1
7486.5,0.0069,0.0069,well1
7487.0,0.0101,0.0094,well1
